"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"前置: 步骤0：开机，adb正常连接 | 步骤: ['步骤1：点击左侧导航栏 ""Vehicle"" > Driving assistance > Comfort', '步骤2：开启/关闭""Following distance"", ""Display risky areas"", ""Adaptive speed limiter and cruise control""3个选项'] | 预期: 步骤1：页面显示""Eco predictive assistant"", ""Following distance"", ""Display risky areas"", ""Adaptive speed limiter and cruise control"" 和 ""To road context""; 步骤2：3个选项成功开启/关闭，动画成功显示","27599","能源/驾驶 - 驾驶辅助 - 舒适","tests_scripts.车辆设置","2026-09-15","passed","2026-09-15","TestSmokeTest43","test_smoke_test_43","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击“电话”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“电话”小部件更换成其他小部件，退出编辑界面并'] | 预期: 步骤1：“电话”小部件立即添加到主页面; 步骤2：“电话”小部件从主页面移除","21635","系统UI - 电话小部件显示与移除","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest14","test_smoke_test_14","",""
"前置: 步骤0：adb正常连接,处于主页面; 步骤1：手机已通过蓝牙连接 | 步骤: ['步骤0：点击“phone”页面右上角搜索图标进行搜索。', '步骤1：点击“phone”页面右上角设备管理图标检查界面'] | 预期: 步骤0：搜索框可以输入搜索值; 步骤1：显示蓝牙设备名称，带有电话和媒体按钮启用选项，以及删除设备按钮","9215","蓝牙电话 - 搜索与设备管理器","tests_scripts.媒体","2026-09-15","passed","2026-09-15","TestSmokeTest22","test_smoke_test_22","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：点击左侧导航栏进入车辆页面', '步骤2：点击座椅'] | 预期: 步骤2：座椅页面显示：驾驶位置，文字说明：座椅和驾驶设备，带有保存和调用按钮","4014","车辆 - 座椅","tests_scripts.车辆设置","2026-09-15","passed","2026-09-15","TestSmokeTest46","test_smoke_test_46","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：""日期和时间""小部件已添加到主界面 | 步骤: ['步骤1：点击主界面上的""日期和时间""小部件'] | 预期: 步骤1：系统进入""日期和时间""设置页面","1186","系统UI - 点击日期和时间小部件进入设置","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest11","test_smoke_test_11","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击日期和时间小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将日期和时间小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“日期和时间”小部件立即添加到首页并显示数据; 步骤2：“日期和时间”小部件从主页移除","16677","系统UI - 日期和时间小部件显示与生命周期","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest10","test_smoke_test_10","",""
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“AM Radio”进入“AM Radio”页面。 | 步骤: ['步骤0：点击屏幕右边星星图案，将电台添加到收藏。', '步骤1：检查”List“和” Favourites“列表和状态同步。', '步骤2：点击”List“屏幕右边星星图案从收藏中移除该电台。'] | 预期: 步骤0：电台添加到收藏，星星图标变为白色，; 电台播放页面白色星标图标在右下角显示; 步骤1：点击” Favourites“列表，电台列在收藏中。点击""List""列表，电台添加到收藏，屏幕右边星星图标变为白色; 步骤2：屏幕右侧星星图标变回未选中状态，播放页面星星图标变为未选中状态，“Favourites”列表中的电台移除。","16694","媒体AM收音机 - 收藏管理与同步","tests_scripts.收音机","2026-09-14","failed","2026-09-14","TestSmokeTest51","test_smoke_test_51","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“音频”小部件更换成其他小部件，退出编辑界面并检查', '步骤1：从屏幕右侧向左滑动，打开窗口小部件编辑界面，点击“音频”小部件将它添加在屏幕中，退出编辑界面并检查'] | 预期: 步骤0：“音频”小部件从主页面移除; 步骤1：“音频”小部件添加到主页面","31011","系统UI - 音频小部件显示与移除","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest12","test_smoke_test_12","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤1：返回主界面并点击主界面谷歌助手区域'] | 预期: 步骤1：语音交互焦点（燃油图标和聆听状态）应出现在屏幕底部","4134","系统UI - 触发谷歌助手","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest6","test_smoke_test_6","",""
"前置: 步骤0：车机正常启动，处于主页面; 步骤1：""音频""小部件已添加到主页面 | 步骤: ['步骤1：点击主界面上的""音频""小部件'] | 预期: 步骤1：系统进入设置页面，左侧导航栏音乐导航项变为蓝色（选中态）","3155","系统UI - 点击音频小部件进入设置","tests_scripts.桌面启动器","2026-09-15","passed","2026-09-15","TestSmokeTest13","test_smoke_test_13","",""
"前置: 步骤0：adb正常连接，点击左侧导航栏进入“Music”页面，点击“Radio”进入页面 | 步骤: ['步骤1：检查界面', '步骤2：点击87.5 kHz', '步骤3：点击右下角的暂停按钮'] | 预期: 步骤1：页面正确显示""List""和""Favourites""标签页; 步骤2：默认频率（例如87.5 kHz）显示在右下角; 步骤3：音频立即暂停","5825","媒体 - FM收音机 - 界面显示检查","tests_scripts.收音机","2026-09-14","failed","2026-09-14","TestSmokeTest53","test_smoke_test_53","",""
"前置: 步骤0：adb正常连接; 步骤1：点击左侧导航栏“Vehicle ”>""Settings"" > “Bluetooth”启用“Bluetooth” | 步骤: ['步骤0：关闭“Bluetooth”配对模式并检查可发现性。', '步骤1：开启“Bluetooth”配对模式并检查可发现性。'] | 预期: 步骤0：连接的手机找不到车载系统（车载系统不可被发现）; 步骤1：配对模式成功激活; 手机可以找到车载系统（可被发现）","27515","蓝牙 - 可发现性开关行为","tests_scripts.车辆设置","2026-09-15","passed","2026-09-15","TestSmokeTest17","test_smoke_test_17","",""
"前置: 步骤0：adb正常连接,处于主页面; 步骤1：有支持蓝牙的手机可用 | 步骤: ['步骤0：打开“Phone”页面并检查连接界面。', '步骤1：点击“Connect to Bluetooth”，检查页面', '步骤2：点击“Pair new device”扫描新设备。点击“62888b2b“开始配对再次出现弹窗后点击“pair“进行配对，同时被连接的手机出现弹窗点击确认，并授权所有权限，配对后回到左侧导航栏“Phone”页面验证连接'] | 预期: 步骤0：页面转到电话连接页面; 显示页面显示：“To complete your call,first connet your phone to your car via Bluetooth”。带有“Connect to Bluetooth”按钮; 步骤1：页面转到Settings-Bluetooth页面; 步骤2：页面转到Settings-Bluetooth页面; 显示车辆名称为""MY_CAR""和可用设备列表，持续刷新列表; 连接成功，目标设备名称出现在已配对设备列表中，电话已连接并同步; “phone”界面上方显示Recent""，“Contacts”，”Favourites“，“Dial Pad”","7741","蓝牙电话 - 连接与基础界面","tests_scripts.媒体","2026-09-15","failed","2026-09-15","TestSmokeTest20","test_smoke_test_20","",""
"前置: 步骤0：车机正常启动，处于主页面 | 步骤: ['步骤0：从屏幕右侧向左滑动，打开窗口小部件编辑界面', '步骤1：点击“Goolge助理”小部件将它添加在屏幕中，退出编辑界面并检查', '步骤2：点击首页的“Goolge助理”小部件', '步骤3：从屏幕右侧向左滑动，打开窗口小部件编辑界面，将“Goolge助理”小部件更换成其他小部件，退出编辑界面并检查'] | 预期: 步骤1：“Goolge助理”小部件立即添加到主页面; 步骤2：语音交互焦点（燃油图标和聆听状态）应出现在屏幕底部; 步骤3：“Goolge助理”小部件从主页移除","15053","系统UI - 谷歌助手小部件生命周期","tests_scripts.桌面启动器","2026-09-15","failed","2026-09-15","TestSmokeTest9","test_smoke_test_9","",""
